品項名稱,售價,一份 (g),"蛋白質
(g)",脂肪 (g),醣類(g),"熱量 (大
卡)"
蛋包飯,50,410,16.15,5.3,91.75,475
起司蛋包飯,60,423,18.45,8.7,92.15,516.1
咖哩蛋包飯,60,420,16.71,8.75,96.29,526.5
奶油培根蛋包飯,60,535,20.23,12.5,98.55,614.8
泰式魚排蛋包飯,60,510,25.15,6.3,110.75,600
雞排蛋包飯,65,530,29.95,6,117.65,640.6
豬排蛋包飯,65,510,31.85,13.6,94.55,623.7
薯餅蛋包飯,65,475,17.15,9.8,107.75,585
香煎豬排蛋包飯,65,510,29.95,9.5,100.15,602
香煎雞腿蛋包飯,65,560,39.1,29,91.75,817
卡拉雞腿蛋包飯,70,535,30.26,30.3,116.07,853
咖哩雞排蛋包飯,70,520,39.11,9.65,96.29,630.5
奶油培根雞丁蛋包飯,70,635,42.63,13.4,98.55,718.8
雙醬蛋包飯,70,510,17.3,7.9,100.2,542.3
椒汁雞腿蛋包飯,75,610,44.5,19.4,96.9,747.3
和風雞腿蛋包飯,75,560,43.9,18.4,91.75,710.5
大阪燒雞腿蛋包飯,75,560,43.9,18.4,91.75,710.5
咖哩蓋飯,60,420,22.94,22.9,97.69,695.3
奶油白醬培根蓋飯,60,425,12.78,7.95,92.05,533.8
紐奧良雞腿丼,65,450,36.45,13.8,85.25,619.5
椒汁燒肉蓋飯,65,500,34,339,90.3,863.3
奶油白醬雞丁蓋飯,70,525,35.18,8.85,92.05,627.8
咖哩雞丁蓋飯,70,410,31.66,5.1,89.79,539.5
滿豚月見丼,65,471,40.17,42.4,86.471,896.3
茄牛月見丼,85,501,44.07,33.2,86.471,828.8
