品項名稱,售價,一份(g),蛋白質(g),脂肪(g),醣類(g),熱量(大卡)
雙層華堡,159,436.6,61.5,64,54.7,1033.4
雙層辣味華堡,159,436.6,61.9,66.2,52.7,1045
勁濃安格斯牛肉堡,135,183.3,29.5,34.8,35.7,572.9
安格斯厚切牛肉堡,135,231.3,30,33.7,38.6,574.7
奔牛肉堡,120,208.2,35.2,38.8,33.5,621.9
華堡,119,322.8,36.1,37.8,54.7,698.9
辣味華堡,119,322.8,36.4,40,52.7,710.5
勁濃培根雞腿堡,109,194.3,25.3,22,42.4,558.2
總匯辣雞腿堡,89,198,16.3,26.6,47.8,494.3
火烤雞腿培根堡,89,176,22.4,15.3,36.9,464.4
小華堡,82,165.4,17.3,17.8,32.6,356.5
辣小華堡,82,165.4,17.5,19,31.5,362.6
華鱈魚堡,69,139.8,15.7,14,37.4,337.5
脆洋蔥牛肉堡,69,132.7,19.6,20.9,33.9,400.3
BK經典脆雞堡,69,153,15.4,19,43.4,405
韓式烤牛堡,69,121.3,19.2,18.6,32.6,372.1
莎莎牛堡2個,99,272.8,34.2,37.8,62.4,1629
勁濃小牛堡2個,99,248.8,34.4,43.6,61.4,774
洋蔥圈烤牛堡2個,99,258.8,34.6,31.4,70,1564
鮮蔬脆雞堡2個,99,284,31,39.8,79.2,796.6
經典鱈魚堡2個,99,257,26.8,21.4,73.8,593
巧克力華堡,129,290,38,45,25,827
美式花生牛肉堡,129,234.1,37.7,40.9,48.5,712.3
美式花生雙層脆雞堡,109,273.6,36.1,38.8,72.3,784.7
爆漿起士蔬菜堡,139,260.6,26,14.6,13.2,650.8
花生安格斯牛肉堡,135,203.6,34.1,39,41,652.3
重磅培根雙層辣雞腿堡,169,394,52,67.5,89.7,1169.6
重磅培根雙層牛肉堡,179,394.5,72.2,75.1,58.8,1190.1
雙起司牛肉堡,69,122.6,21.5,21.3,30,395.3
雙層火烤牛肉堡,89,152.6,32.3,32.4,30,537.6
花生培根脆雞堡,89,163.3,22.9,29,47,541
花生培根牛肉堡,89,146.7,24.4,30.8,35,514.3
花生香豬華頌,60,138.3,16.4,15.9,39.5,367.5
早安鱈魚堡,60,128.5,13.4,10.7,36.9,296.5
火腿培根蛋華頌,50,149.3,13.8,13,28.4,285.5
早安脆雞堡,50,142,15.5,19.9,5.2,398
花生蔬菜蛋華頌,40,112,9.4,10.3,30.4,252.1
火腿豬肉蛋堡,75,201.3,32.1,18.7,47.5,486.6
雙層牛奶蛋堡,65,180,14.1,11,42.8,326.3
雙層豬肉起司蛋堡,85,237,19.2,13.3,53.5,410.2
起士蛋堡,35,137.3,10.7,11.6,29.7,264.4
巧克力華堡,129,290,38,45,25,827
美式花生牛肉堡,129,257.5,43.3,51.1,17.3,868.1
美式花生雙層脆雞堡,109,258,38.9,41.2,11.4,770.1
爆漿起士蔬菜堡,139,260.6,26,14.6,13.2,650.8
熱拿鐵,65,228,4.4,5.1,5.6,86
冰拿鐵,65,228,4.4,5.1,5.6,86
柳橙汁（小）,48,340,2,0,38,156
柳橙汁（大）,58,454,2.7,0,50,209
美式研磨（小）,45,228,0,0,1,0
美式研磨（中）,55,342,0,0,1,0
熱巧克力,45,228,1,2.6,24.4,112.6
熱風味茶,40,341,0,0,0,0
冰美式研磨（小）,39,228,0,0,1,0
冰美式研磨（中）,55,342,0,0,1,0
激浪（中）,33,455,0,0,59.6,229
激浪（大）,44,854,0,0,111,430
百事可樂（中）,33,660,0,0,53,277
百事可樂（大）,44,854,0,0,100,379
七喜（中）,33,660,0,0,56,290
七喜（大）,44,854,0,0,102,380
華年達橘子味汽水（中）,33,660,0,0,56,211
華年達橘子味汽水（大）,44,854,0,0,96,358
味丹檸檬風味紅茶（中）,33,660,0,0,54,218
味丹檸檬風味紅茶（大）,44,854,0,0,101,410
低卡百事可樂（中）,33,660,0,0,0,0
低卡百事可樂（大）,44,660,0,0,0,0
立頓冰綠茶（中）,33,660,0,0,0,0
立頓冰綠茶（大）,44,660,0,0,0,0
立頓熱紅茶,33,228,0,0,0,0
火烤嫩雞田園沙拉,90,186,16.2,4.9,11.4,242.7
濃縮咖啡聖代,55,106.8,2.8,7.7,70.5,356.2
洋蔥圈(中),52,117,4,21,53,410
洋蔥圈(大),60,130,2.6,7.8,31.2,208
蘑菇湯,52,300,1,3.1,4.4,82
勁濃起司薯(中),49,130,4.5,18.7,48.4,379.4
辣薯球,49,128,9,15,34,310
薯條(中),45,153,5,17,53,380
薯條(大),55,160,4,6.9,42,246.4
蘋果派,39,107,3,14,51,340
吉士火烤牛肉堡,39,111,15,13,27,280
巧克力聖代,29,112,3.2,8,86.5,428.7
草莓聖代,29,128,3.4,9.2,95.2,474.4
甜筒冰淇淋,18,124,4.1,9.4,104.7,517
V型薯,49,150,3,6.8,37.5,231
香濃起士球,49,84,6,10,22.5,204.1
BK脆雞沙拉,99,190.3,13.4,13.1,20.1,248.3
BK火烤牛肉沙拉,99,190.4,12.8,11.7,8.7,185
薯球,40,100,2.5,10.4,23.2,197
黃金炸雞(腿),59,120,16.7,21,9.7,295.2
黃金炸雞(排),59,175,25,31.2,10,420
